,FIPS,yPLL,yPLLBlack,yPLLHisp,yPLLWhite,fairPoorHealthPerct,physUnhealthDaysAvgNum,mentalHealthDaysAvgNum,lowBirthWeightPerct,lowBirthWeightPerctBlack,lowBirthWeightPerctHisp,lowBirthWeightPerctWhite,smokersPerct,obesePerct,foodEnvIndex,physInactivePerct,exerciseAccessPerct,excessDrinkPerct,alcImpairedDriveDeathNum,drivingDeathsNum,alcImpairedDriveDeathPerct,chlamydiaCaseNum,chlamydiaCaseRate,teenBirthRate,teenBirthRateBlack,teenBirthRateHisp,teenBirthRateWhite,uninsuredNum,uninsuredPerct,primCarePhysNum,primCarePhysRate,dentistsNum,dentistsRate,mentalHealthProvidNum,mentalHealthProvidRate,preventableHospStaysNum,preventableHospStaysNumBlack,preventableHospStaysNumHisp,preventableHospStaysNumWhite,mammScreenedPerct,mammScreenedPerctBlack,mammScreenedPerctHisp,mammScreenedPerctWhite,fluVaccinatedPerct,fluVaccinatedPerctBlack,fluVaccinatedHisp,fluVaccinatedWhite,hSchoolGradCohortSize,hSchoolGradRate,someCollegeNum,someCollegePop,someCollegePerct,unemployedNum,laborForceNum,unemployedPerct,childrenInPovertyPerct,childrenInPovertyPerctBlack,childrenInPovertyPerctHisp,childrenInPovertyPerctWhite,incomeInequalityPerct80Th,incomeInequalityPerct20Th,incomeInequalityRatio,childSingleParentHouseholdsNum,HouseholdsNum,childSingleParentHouseholdsPerct,socialAssociationsNum,socialAssociationsRate,annAvgViolentCrimes,annAvgViolentCrimesRate,injuryDeathsNum,injuryDeathsRate,airPollutionAvgDailyPM25,SevereHousingProblemsPerct,SevereHousingProblemsCostBurden,SevereHousingProblemsOvercrowding,SevereHousingProblemsInadequateFacilities,driveAlonePerct,driveAlonePerctBlack,driveAlonePerctHisp,driveAlonePerctWhite,longCommuteWorkersDriveAloneNum,longCommuteWorkersDriveAlonePerct,lifeExpect,prematureAAMortalityNum,childMortalityRate,infantMortalityRate,freqPhysDistressPerct,freqMentalDistressPerct,diabeticPerct,HIVprevRate,foodInsecurePerct,foodLimitedAccessPerct,drugODRate,MVmortalityRate,insufficientSleepPerct,adultUninsuredPerct,childUinsuredPerct,disconYouthPerct,householdIncome,householdIncomeBlack,householdIncomeHisp,householdIncomeWHite,childrenFreeLunchPerct,residentialBlackWhiteSeg,nonwhiteWhiteSegIdx,homicideRate,firearmFatalitiesRate,homeownershipPerct,severeHousingCostBurdenPerct,pop,popUnder18,popOver65Perct,popBlackPerct,popNativePerct,popAsianPerct,popHawaiinIslanderPerct,popHispPerct,popNonHispWhitePerct,popNoEnglishPerct,popFemalePerct,popRuralPerct
FIPS,1.0,0.08098110781248892,0.04426183988140973,0.0537247151483605,0.11110683839084866,0.0834796712882059,0.08827189210152254,0.055100670364447046,-0.07451559016074576,-0.09583627383763757,-0.015343696438335675,-0.11137988428714247,0.11559709557548017,0.014516467285388048,-0.0376364742527,0.0272345241558211,0.023149095060590992,-0.03185104848808145,-0.061682380278486555,-0.04955350750612329,-0.038997792927335184,-0.06242136934533044,-0.24869410739604741,0.07081381979109684,-0.06996388667778466,0.056916437939140765,0.05976622629923369,-0.05280884696548934,0.060804636401203184,-0.07140394297953856,-0.07831661743746193,-0.06998172205660555,-0.04387993707520212,-0.06018542343136343,-0.029752969266006242,-0.0020562238362768783,-0.03703772600413499,0.11941886741653666,-0.013131244853387666,-0.08394058875003635,-0.05591812075433414,0.06597270734173374,-0.1861605122598805,0.029996501725594808,-0.052822568417105815,0.01933220027733945,-0.017070172306201663,-0.09043103018356803,-0.05514697304340351,-0.050628029656234544,-0.051165598759394235,-0.07490660500169753,-0.05280095082564298,-0.05046149347542273,0.17689790865671104,0.03201409689431194,-0.029910629204237836,0.030549867513204675,0.061501637825263196,-0.03849138322846697,-0.07684561784907915,0.10796804802552715,-0.057086602990590124,-0.056468706699193884,0.08469313865372029,-0.037784544361803646,-0.025684180186302828,-0.047960061525678076,-0.03507542949636661,-0.04592969815640604,-0.038368242170311845,-0.019981498376828683,0.019294433511683348,-0.014554509045263462,0.07092715631130811,-0.0047692867075160164,-0.018323367992716135,-0.05369884567254835,0.0036262018348233436,0.07006281657780125,-0.051221065957342236,-0.041990688320978915,-0.030594554551563798,0.04366533051537025,0.11535095363795611,0.027247735845400568,0.08969895175849987,0.08661449352164456,0.015292347418627977,-0.12836972275324635,0.01936589802181691,0.03064633195199663,0.24784693771216346,0.03183443705016587,0.012539441207499493,0.07722078475966597,-0.005045980061002904,0.03586649259350077,-0.05360922239678115,-0.05530236973744161,-0.06559278410760891,-0.0520640425342711,0.04879726174660488,0.006559712483490842,0.025705823457860336,0.004115433833216195,-0.07785524800578122,0.01993531550204849,0.04222606699900599,-0.054545127170715024,0.07426509921321336,-0.03962437925116195,-0.0045014848051810625,-0.03531194420515911,-0.06742669638374775,-0.05510172758421548,0.054244284261126055,-0.0488524572760303,0.04574267103715923,0.013962569341942925,-0.03474404427968387
yPLL,0.08098110781248892,1.0,0.62297922936707,0.5508907577331328,0.8507464049948711,-0.004770131244250464,0.1905755552554394,0.38688823665976074,0.19301752731939345,0.18445244193415977,0.01438630819361966,0.26839472328106284,0.4329328355730565,0.2804939363449056,-0.33836385035005356,0.4849082046897772,-0.29281484957913,-0.2865824750055194,-0.22155068231614874,-0.2376823291928248,-0.04807782056949428,-0.2507999698400841,-0.02474130238576715,0.23049022516447393,0.4519634609435897,0.21836253369627232,0.5620895092454228,-0.24081232820942422,0.07068445212703664,-0.3051776269298163,-0.24484209347444608,-0.2543573427422597,-0.18721966249826918,-0.2632444334614838,-0.2405211139165952,0.23556187700603287,0.04101533134493836,0.0922900164702443,0.1923358084441737,-0.1721526330142746,-0.06578610963081584,-0.0796691030821056,-0.17306080862177523,-0.12115037132205786,-0.0912254810203583,-0.14717228347200453,-0.10129541423560733,-0.32795687738033624,0.1968790449898302,-0.2910761838526214,-0.2690709556685011,-0.33082692088379945,-0.25228064537676526,-0.2812267075895155,0.2681006209159909,0.3876165163665907,0.3707307836983432,0.22530712453585164,0.33501420585064473,-0.4641995408879884,-0.4476977526218598,0.12287647948746422,-0.23531400266404698,-0.27477306552519787,0.250835186063102,-0.27351673172621055,0.23208268347497021,-0.1708769562341177,0.1188455572988847,-0.23195773886185797,0.6550584646706084,-0.053237677195134336,-0.20413778120152784,-0.16840992188740023,-0.24676088837326568,0.23322302007254275,0.20582424092192372,0.023185017023280276,-0.008982449911416383,0.19095298206433547,-0.27734352585019556,0.016125959921196798,-0.8971899066488112,0.941994775097849,0.5598887113847051,0.6781481652468083,0.12712824216388963,0.3133214134872241,0.4998313739928096,-0.05091446702206011,0.4535225821852963,-0.04790317822536492,0.5085371576635476,0.5586545648404286,0.04582933531647558,0.030997519709358295,0.053177153888749905,0.3019615837902796,-0.4854162191074811,-0.5751433706328273,-0.21522086980225275,-0.56506707723367,0.2557301658762365,-0.11246358893053188,0.053340936746424004,0.5659844590155186,0.6038897137974082,0.2708803178024387,-0.10459575803974196,-0.27755936507626344,-0.24331834892742732,0.41494756411581324,0.18643611819920175,0.1534324726141843,-0.3886380189599639,-0.08316131279384699,-0.30149968883415057,0.3070404434543538,-0.33743992205098017,0.016838786586238896,0.4239859630662315
yPLLBlack,0.04426183988140973,0.62297922936707,1.0,0.24785175819042468,0.4791537012040749,0.2230817452747014,0.3623527218295241,0.4364321721254237,0.05659513571101307,0.38842469909605226,-0.1292463882820188,0.029403058211968813,0.32256458396383786,0.24760132634810264,-0.17556265804318671,0.41112784246914685,-0.22810913532206734,-0.5206750235138152,-0.15879859783675532,-0.18390397182485643,0.05026742924330346,-0.1847038576931718,-0.06733924955403828,0.36316637787939265,0.5036827934387696,0.26320829700802684,0.37227591223683454,-0.16819183115754607,0.327533086662642,-0.24125343166396568,-0.32906051312158685,-0.1967212133792494,-0.2501916506175007,-0.20458180866883988,-0.31247199275057475,0.012654903087720246,-0.20710147773262422,-0.25762259817799904,0.04101711491279329,-0.21355750790098346,-0.16218772696916903,-0.10784444458020105,-0.23611326728871818,-0.18266528047071906,-0.05015005407867334,-0.057796343949000815,-0.19320071406905,-0.23732181507092995,0.1997301647199457,-0.24279075851086307,-0.21487906335666948,-0.3929157131566624,-0.188936786802249,-0.2265922947823661,0.35858739790893873,0.49409146320133124,0.35713341854259817,0.29687956737219345,0.43648443638722667,-0.45282578455770267,-0.48238886118901453,0.21259460932057686,-0.16822665017975708,-0.21447474587376816,0.20564791276118174,-0.22212677440740225,0.5078836882398116,-0.1131322342058333,0.08992109993340476,-0.18563955460138493,0.5590004319258879,-0.2016710496798823,-0.10901475754449703,-0.1565761817252864,-0.04174143310462265,0.26709814545426397,0.2538281391748823,0.03786086237014095,0.08111189379744804,0.3522536105322543,-0.22499717180249967,-0.12171773941491286,-0.5668014400534649,0.5892293477279905,0.36680835338740414,0.47963981360159075,0.34383761841591054,0.4566448840962803,0.4486966565714474,-0.2047822775586422,0.3306898814231257,-0.178160204868792,0.3506702797909455,0.5783231471422084,-0.010776981420709618,0.29628228212936947,0.3127858088784986,0.38281561605772774,-0.47579795781257417,-0.5402388458352404,-0.24207300589240724,-0.4621862226217721,0.37895516386797373,-0.036824025316994725,0.07745099802120856,0.4878011856205953,0.32272657912641517,0.264607457269846,-0.12630794959544933,-0.2226509105883845,-0.1675060677762255,0.54006897874443,0.04942918900275296,-0.04392478761414988,-0.3985162618711641,-0.13288539561054127,-0.2163132979419099,0.28243954246589803,-0.23452044380595669,0.18939650628960605,0.44183951887275524
yPLLHisp,0.0537247151483605,0.5508907577331328,0.24785175819042468,1.0,0.3747734544338433,0.44002356707195966,0.42561421843112723,0.19588530294015113,0.29981564368528896,0.25953055237936695,0.3822732644379432,0.3212790520177945,0.23026383612913623,0.04366750675052555,0.1210501500564643,0.06444923583626526,-0.17037313406343002,-0.28372741218692576,-0.1943870159604473,-0.21330470663128098,-0.1506283904546789,-0.18465228834269176,0.10146751431569777,0.4892370549172305,0.3464908989493593,0.4648964628444094,0.34214984585323954,-0.18924907293076787,0.21320177651959535,-0.2389000958188493,-0.22542545605888994,-0.19874016174429365,-0.29476624732304824,-0.1941154753729494,-0.23042173294234153,0.28059983713478853,0.28441363415893867,0.2767807416207128,0.2014010854643423,-0.42479938278808976,-0.2639493132402192,-0.22827525433220971,-0.3583567870249969,-0.504908879389742,-0.35709232453827805,-0.3511316153417022,-0.4903461954373363,-0.23010209149779418,0.00406041802777133,-0.23502644933534847,-0.2158998250232328,-0.4379854683847381,-0.20731501564939994,-0.22976643833584615,0.19065182163069752,0.491510798473795,0.30644030429708846,-0.06205293338350311,0.28822341494498344,-0.3912343833516616,-0.43653126253588037,0.2646612516646339,-0.1818508637043966,-0.2184437776243901,0.32930120857708634,-0.24875271421051404,0.30122768150751467,-0.13365923775015703,0.17081383944549236,-0.2026357892467155,0.3235187873494007,-0.5065388980640294,-0.06612164366196423,-0.2908406232773348,0.15300978263988235,0.28814121302902185,-0.037921221917434335,-0.06102821964200936,0.07256785197928028,0.09361440720836675,-0.22828408588938032,-0.2669325781373262,-0.4770465349590452,0.5151870528828701,0.2022747516324603,0.10905953578918079,0.4146401502017531,0.2655729488972934,-0.027466665085186682,-0.022065820647544875,-0.3035548921616854,0.2427652325109385,0.19849097359108514,0.38060626062000114,0.14368117654355433,0.22221240913588125,0.13109624762456631,0.4070936405144914,-0.4836681015447179,-0.27794918041950567,-0.2933071419127727,-0.3592627616392659,0.3744540258661964,-0.12826459973696502,-0.34937235032045333,0.2799013519396404,0.1889639323650968,0.02751285803876778,-0.1676838561095862,-0.22541948576624826,0.041296199748731166,0.0629467644517906,-0.2812851855563151,0.22776366134496515,-0.3253652702444833,-0.1873173865059087,0.42667918277916433,-0.32890814228436416,0.019749211934065685,-0.3544337481799224,0.11381196852669052
yPLLWhite,0.11110683839084866,0.8507464049948711,0.4791537012040749,0.3747734544338433,1.0,0.13285926452612382,0.2532711514082536,0.2994739549075887,0.17722008629708424,0.13098591065645837,0.045265875799741256,0.22614586922108132,0.3620215750369461,0.24312321325699793,-0.17537683906432183,0.38347145406513067,-0.3274531077668044,-0.30418002496418645,-0.2397889464642541,-0.2582898539669963,-0.09871388449029593,-0.26511399450772755,-0.020844855273631332,0.4107698586765221,0.3072388862117114,0.30571605262318,0.6547451757207156,-0.24791600225087207,0.24256361189735623,-0.3093314547251793,-0.3783191044013034,-0.26314765533235107,-0.33560012289821706,-0.2903846497825206,-0.28621507166818805,0.2167462005459245,0.04706227313692725,0.1453231308897488,0.23500668640353065,-0.30217558264454547,-0.048163106576956605,-0.0966301459071522,-0.32472021523918765,-0.2077065209753305,-0.04880648889520846,-0.21277914608193058,-0.20828634391664483,-0.3237717963693963,0.17003862685707877,-0.3060379711003847,-0.2828353911154888,-0.4513221464541352,-0.258032293517799,-0.2972072695554242,0.39801623452949225,0.3992586229695277,0.2974038933785554,0.1266897824593723,0.4700093977435886,-0.5021545569815135,-0.407745716296925,-0.0006101892383345804,-0.24619470294726012,-0.2841212252373567,0.21778820655092646,-0.30323797406516945,0.23691272762947993,-0.18748319951829104,0.1103153561091943,-0.2536631616162947,0.687052938262781,-0.27785388507136544,-0.2590866917980215,-0.3576920008088118,-0.05915987083488011,0.23031084562333393,-0.00770082520877864,-0.04100699691533712,-0.06419144964826895,0.07287519470483136,-0.29334757131837313,-0.03811392454843362,-0.7776358469718138,0.8124013571555432,0.5207935597436814,0.5548073568367349,0.20749151982941427,0.2805943836344044,0.38434021194390744,-0.0610232599317484,0.19484739005864468,0.00699213040309916,0.5147727433170757,0.6115006282272768,0.049129449893068805,0.2069344092828132,0.20374973202307192,0.33510730093941027,-0.4994658811761892,-0.39679858524235856,-0.2020610409842985,-0.5415158468674117,0.340727399931928,-0.14383467099488742,0.016208924291371926,0.478407250294512,0.667772415722842,0.2473821794003023,-0.30428962579597785,-0.2913644528550454,-0.14645851065230306,0.360464313464626,0.02803425719588387,0.2761130192397065,-0.3663014400184039,-0.06802408926061637,-0.08232779944405635,0.12448064770314182,-0.10055511562731344,-0.1188284177157457,0.38148962393427194
fairPoorHealthPerct,0.0834796712882059,-0.004770131244250464,0.2230817452747014,0.44002356707195966,0.13285926452612382,1.0,0.9345196133760845,0.6304655452003857,0.2851144576849271,0.09973038554508486,0.26878010218248943,0.11859217004902124,0.5626638123839718,0.059765718586788585,0.018475410003358072,-0.09968164451424194,-0.005761119847006217,-0.6221862297460589,-0.04588169150532737,-0.04709489049144325,-0.02038282271080069,-0.04245243418016758,0.05145815105439364,0.6647239450816735,0.23785488553454437,0.49351330526959347,0.205434554874616,-0.0016152268618415664,0.48741589195291485,-0.06681772686889996,-0.1372687818117721,-0.05224057346942191,-0.1416880188848149,-0.05397239277349955,-0.10095167985285927,0.1739193815430597,0.04189454774536967,0.18654145542873102,-0.05957721351829381,-0.41995668395943336,-0.1497470053538885,-0.1488881087399934,-0.47182262672140374,-0.25871654896097024,-0.1467529742422397,-0.1388695524044121,-0.3058749708507558,-0.03901004789228589,-0.24734553784206326,-0.07037670622062171,-0.04751875829836,-0.511598753672218,-0.02633064366378673,-0.06186743845768999,0.5366643383074826,0.6865417630925699,0.11357088515483173,0.3021784020272071,0.5110947960317558,-0.5649376885383278,-0.5899468903386539,0.39441126704339974,0.0017693820171172648,-0.029095088826159868,0.3566619622714857,-0.08706013717739564,-0.2503180877017873,-0.015476439391442654,0.12608563001563727,-0.06125513960815956,-0.2656279802652494,-0.23894906380268915,0.44455670787341317,0.0817497227967119,0.6258996724488924,0.2472188581248982,-0.12717628618138097,0.043148293039042176,0.22477204289573965,-0.062099097626525226,-0.06037085852568428,-0.35880129915981906,0.12305224413836106,0.00802841962523179,-0.10427014227847949,-0.1291135966766638,0.9613015142857243,0.7746792170716863,-0.199951265196827,-0.009474362519574332,-0.3795344638487476,0.27072593559648145,-0.07994612065044503,-0.08771050024504973,0.608400175043248,0.6351314052534348,-0.07010557943527947,0.3955717782577417,-0.5805223956898428,-0.07626544918436846,-0.3610916371138079,-0.30395383918651636,0.6927831627973285,0.1240995682133391,-0.235402804412653,0.11604120304067962,-0.20890368525734804,-0.22157837925075693,0.1537648687633315,-0.04699259082826254,0.37301072114259576,-0.22797856976646103,-0.1651718766021398,0.09939771362179997,-0.13007673064892114,-0.018856752440358643,0.8316903877200041,-0.8260799191592829,0.6543896973164972,-0.14193724858093512,-0.2483820560614912
physUnhealthDaysAvgNum,0.08827189210152254,0.1905755552554394,0.3623527218295241,0.42561421843112723,0.2532711514082536,0.9345196133760845,1.0,0.8347513170330724,0.30522296917628405,0.104838771116301,0.17944966449217628,0.13563418926869028,0.7317854634615167,0.12290562094470096,-0.14050662862234994,0.06061842694301755,-0.04065611795797938,-0.7074274938166913,-0.08466264576626005,-0.08492138951486293,0.01632156221223147,-0.0815639712342593,0.02615962735503577,0.5969869243067353,0.2959230501647008,0.411160893428672,0.26850665093680504,-0.0423969385437682,0.5246463595007709,-0.12368522229170771,-0.11568506981201017,-0.09771596218556407,-0.12641649040817413,-0.10631528208222542,-0.09676600756068753,0.1686868195408504,-0.0003316209288960274,0.15204927027310508,-0.025228158492724154,-0.3644844052646446,-0.1329591807407125,-0.09971643652232497,-0.4192414904004275,-0.21590871719942817,-0.10316975238806486,-0.12761898537979613,-0.2498764758277775,-0.100773002794348,-0.2118575880446941,-0.1195641939288111,-0.09274904247673921,-0.5203420936415497,-0.07017237471525936,-0.1090135701202748,0.544527925311927,0.7494480976565357,0.24610076216029003,0.4276962267090936,0.5854127304937614,-0.7089800410604751,-0.7204096568810184,0.41012117478897975,-0.03588974045602855,-0.07560324147453386,0.4059435373367076,-0.1269060870185576,-0.1701785791357998,-0.04021609271860461,0.12520414026297097,-0.09762990272350248,-0.12861924606727151,-0.1640710840083529,0.43907958882607206,0.16199082842724186,0.5042780614287083,0.24734886389259936,-0.08290707739282548,-0.0206685885763479,0.1824302717377379,-0.027207516846614876,-0.10554048032070322,-0.34054069964021827,-0.017079560068616544,0.1557889142637623,0.0032342864901975794,0.006260064928376397,0.9915535615227672,0.9259085132240785,-0.004429371197651585,-0.04695161418580493,-0.12142069358903523,0.2626472706185785,0.05899915041748311,0.00790212785126527,0.6072089295558432,0.6482183001219727,-0.03724586184697268,0.37089001439934505,-0.6976614611417953,-0.30615135276726124,-0.46698765839013395,-0.5138372638335029,0.7426760422107537,0.11631247842401601,-0.172001355051993,0.1809048106713589,-0.07102261186970511,-0.1817037988976144,0.22154363248534617,-0.09163491898051757,0.2332180691102361,-0.08122630911068826,-0.06204238780065323,0.12312323175192513,-0.22629953315724807,0.0003842342198033732,0.6232755857993223,-0.626267881531064,0.5127946709244079,-0.051124735901118046,-0.12666197183989175
mentalHealthDaysAvgNum,0.055100670364447046,0.38688823665976074,0.4364321721254237,0.19588530294015113,0.2994739549075887,0.6304655452003857,0.8347513170330724,1.0,0.2552977941648954,0.065599727097055,-0.009503597492880902,0.10419600457963708,0.7754237137273348,0.15877907567094535,-0.35236737350669467,0.27164372009435256,-0.06432555409638946,-0.7099040447044622,-0.06398678405766564,-0.0697318606650897,0.07230604878544272,-0.06391363578803966,0.038126057804478475,0.34547515817399976,0.3479789801502409,0.15546536479605208,0.236451033233038,-0.0336669677779567,0.46455898746726754,-0.11384626547159786,-0.05737974027988252,-0.08180273628965412,-0.04728201864376527,-0.09645171915028669,-0.03572843562976122,0.11302371655850553,-0.06778023749613993,0.05731222492530103,0.004549433364069481,-0.16371574307044437,-0.08224207820272442,-0.004900210260909256,-0.19217628818175014,-0.08917957715410747,-0.010660880598119543,-0.07496643358217285,-0.07780937242266271,-0.10872870662312811,-0.10573589248468326,-0.11048783410004777,-0.08400038337099953,-0.3277150396819286,-0.062167438549035337,-0.09839465933086475,0.4477952081215512,0.6559873525276932,0.305230137989421,0.512002013192184,0.549821541534261,-0.7205855582101999,-0.7070517446612054,0.32983821563644244,-0.029652632801808843,-0.07171561927036522,0.41192210728815565,-0.10074373714096756,-0.02472730415959224,-0.021336088629669677,0.09755024433240031,-0.0743132836088542,0.0642828969480879,0.0030362501002686713,0.35798937601111247,0.2569169565416959,0.23717767679599647,0.21744929157517853,-0.023782761462897383,-0.07143468511906881,0.09329021434827861,0.02382041275859549,-0.09521054714523416,-0.22524928342838463,-0.18719567862725092,0.30720135968946827,0.14106681345415428,0.21095593284594985,0.7935899888240062,0.9569024337348261,0.30337214762296105,-0.14161801321398243,0.2811565968126938,0.2074342490926537,0.16336106033568384,0.10794381673152659,0.4477796320160255,0.5289878202497099,0.025047012880964926,0.1865836320738188,-0.6654622488110489,-0.44996775097902986,-0.4663555564883785,-0.6342249003020274,0.6239831846384265,0.10194947979283989,-0.020063727933122045,0.22188664623782656,0.0701360542726599,-0.09413729171268981,0.2947018593356996,-0.08314184885598354,0.05234444618300171,0.14377153251895144,0.08722360759897103,0.13271679388251276,-0.27426922650598706,0.011434967006197661,0.17900330216350058,-0.1940032486426349,0.21073672468999016,0.21565082439490352,0.06462367928189815
lowBirthWeightPerct,-0.07451559016074576,0.19301752731939345,0.05659513571101307,0.29981564368528896,0.17722008629708424,0.2851144576849271,0.30522296917628405,0.2552977941648954,1.0,0.22870836361648653,0.6049800841189774,0.7001920449661766,0.31425297026293875,0.12928356364212623,-0.13971665645856432,0.08615377538872494,-0.09134679134778688,-0.21097850147907618,0.05139145168117551,0.055939397758720276,0.0009956379291930913,0.05690903440644108,0.14241270363042907,0.27988615755216945,0.23898111866326824,0.22141318764941653,0.17320382286694586,0.04540784791273258,-0.02639701392973979,0.040062062778679824,-0.05872186245724559,0.05102799978511562,-0.035328628961835765,0.06367708449493775,0.06474354852470209,0.12481101001277915,0.20240636416496102,0.04564969316683157,0.054321998083043416,-0.1756846854715483,0.011108611037595681,0.002441816746727181,-0.19665961789095243,-0.10648190184747659,-0.0963348192716596,-0.10817370005713062,-0.09999716444396196,0.052776764576843986,-0.17159657067348458,0.03897532294344755,0.04412772478885139,-0.13707630685460293,0.04929944411456389,0.03887769224376177,0.3288495853659909,0.3228486717985014,0.023030894195489423,-0.01855759221333191,0.18701708574360593,-0.24182592188550264,-0.28567787830475627,0.21656864670093107,0.055853425732398355,0.045617148105094874,0.2625133618433439,0.04186045010506775,-0.08372320378027265,0.062192835078470336,0.29773321069189684,0.061145529253431724,-0.09694524670030963,-0.017025667639952922,0.07514128116085314,0.05993117898184157,0.021483139800856258,0.09740873843251545,0.0996869424767031,0.08403878070970927,0.18913476768250378,0.19869032013055823,0.04165933369499947,-0.03754108037933917,-0.13193587855156358,0.198980712450488,0.009019634530602465,0.27801269554367275,0.29918302025526566,0.2717741922561175,0.046814330788342,0.1711227961097902,0.12936921439213658,0.05481950909790904,-0.010519992926267893,-0.18339244371044372,0.344503307793168,0.038032049802918876,-0.2638120336918284,0.16648301931343415,-0.24179021254339667,-0.18713897662584933,-0.05391278849016843,-0.13008667784709224,0.2443623660128403,-0.053860788216829915,0.05383006528766092,0.4093411347507998,-0.01923157617774617,-0.14036908652908758,0.10043918009626379,0.043513673705832145,-0.04860440586683932,-0.06577316901649957,0.25298337518867314,-0.09838787674800696,0.039140373600829025,0.018764272319221738,0.13970645653390623,-0.2317464055194503,0.010155396414777283,-0.12017731497354268,-0.06427527777805139
lowBirthWeightPerctBlack,-0.09583627383763757,0.18445244193415977,0.38842469909605226,0.25953055237936695,0.13098591065645837,0.09973038554508486,0.104838771116301,0.065599727097055,0.22870836361648653,1.0,0.01489759405861929,0.20058413123974972,0.01902145675355439,0.012149158049220817,-0.017979830802977763,0.2503245872213121,-0.11721462906589913,-0.12868556503800951,-0.07138763598330486,-0.08340901004335792,0.06699228861180366,-0.08457572290384875,0.11085083354513708,0.1675567690057328,0.4066613276669392,0.2547922243160446,0.001227403352111027,-0.1064727314839189,0.15315339202994,-0.11776254070562672,-0.07519589065596136,-0.09115037217972272,-0.0019832427615393447,-0.08047225411838584,-0.06686129083162626,-0.13269841717112252,-0.08303065366824365,-0.09339799505053391,-0.1630376719163557,-0.151206266752649,-0.03513350983662876,-0.1444461500775984,-0.13629443576085368,-0.1580772880950593,-0.14298449709121241,-0.10426194969750611,-0.14963768032245037,-0.1384681168802491,-0.07855113265613835,-0.11655662563624601,-0.11015256186284136,-0.17006718784371436,-0.11627823324815757,-0.112955110068616,-0.01682296038795541,0.10505451109275654,0.2733756310525592,0.0241326603420793,0.13623729688041097,-0.17410445881178527,-0.18699461246586555,0.07365656735702628,-0.09790268115269157,-0.12108786773411125,0.14086756620124333,-0.10137524995566821,0.30821348916605673,-0.05554665764203745,0.12182586288248815,-0.08961312726431236,0.21106190719995155,-0.22272128015332734,-0.0606917768823413,-0.1105162548012418,-0.016389581783085545,0.18522941883629018,-0.03429977286619709,0.007886618576695693,-0.16671029989235914,0.11252059041764961,-0.11431888398979806,-0.09870344491581749,-0.187615893284278,0.2023902589827765,0.1038380331521227,0.216974182405254,0.08374607867884783,0.0686912708959675,0.07945213561155982,-0.04893673588843181,-0.011754139316629414,0.04118728765279584,0.1674209260913703,0.22408902181185963,-0.07486656437886868,0.12892139836934,0.17860619497684452,0.07814593765771027,-0.17078302277776153,-0.21357938204730736,-0.04037616764364011,-0.16560687506106708,0.13923860198556443,-0.08157797727817806,-0.18579814490725477,0.2785087002351961,0.09042464142120261,-0.012291192303968636,-0.10840721589980676,-0.11786868571063248,-0.07049454210055861,0.15884724970128802,-0.05534943912537245,0.20052124019259562,-0.18399804885993892,-0.13811618057688604,0.06930506600818195,-0.013365662473086905,-0.09726410503530887,-0.03656631933520868,0.14501732794358954
